dataset_name,url
在澳門以外地區升學的澳門學生人數統計─按性別劃分,https://data.gov.mo/Detail?id=143e1159-fa1f-4d47-bf46-c49410838e52
七日天氣預報,https://data.gov.mo/Detail?id=4ad04fae-852d-4d31-b31c-77dfc080f8f5
最新第一組《公報》,https://data.gov.mo/Detail?id=937ccdd0-8cff-4028-b081-bd4e318bd9e9
退休及撫卹制度-退休金份數,https://data.gov.mo/Detail?id=c9a19752-f89a-455c-8dfb-585504299f70
公務人員招聘－統一管理制度的綜合能力評估開考的數據資料,https://data.gov.mo/Detail?id=1a255b4e-ce65-47d8-9a68-cb814007cdd6
總體失業率,https://data.gov.mo/Detail?id=662fc6ea-d70a-4f18-9611-5dfbd6b88d52
人員執照概況,https://data.gov.mo/Detail?id=054b4bb8-b2bb-42dc-8cc6-a8b210ef3965
退休及撫卹制度-在職會員-按年齡劃分,https://data.gov.mo/Detail?id=2085fc75-1e52-4bb1-ba7a-05535294a1fb
行政長官選舉結果統計,https://data.gov.mo/Detail?id=242fadb6-04c6-4e6c-8eaf-392e409be226
年終總人口,https://data.gov.mo/Detail?id=7578ac99-41a4-4c8c-8da2-fad18eb40c13
噪聲監測站數據,https://data.gov.mo/Detail?id=d57eca5e-d61e-4718-9d19-a8d80e2f34dd
民航局處理的投訴和建議,https://data.gov.mo/Detail?id=cc24f281-5369-4111-9aea-50e2f07096c7
旅客人均消費,https://data.gov.mo/Detail?id=f02b334a-cc44-4433-b942-672de0fdad13
國籍申請統計,https://data.gov.mo/Detail?id=ab56e705-cbda-47a3-9f8a-2658159809f4
公務人員數目統計—按學歷程度劃分,https://data.gov.mo/Detail?id=5613b819-b110-40ac-974c-e556815e5587
自然人選民登記統計,https://data.gov.mo/Detail?id=7dc630ef-da14-41b5-9815-13d97340c941
酒店及公寓可提供客房,https://data.gov.mo/Detail?id=8d031b75-02de-46fd-a3be-97c6b9c6bed0
公職補充福利制度商戶優惠清單,https://data.gov.mo/Detail?id=f1183f2c-1c42-4cbb-ba72-c44d3870eabb
會展活動平均會期／展期,https://data.gov.mo/Detail?id=29c9c969-d53b-4845-a991-54032ba15362
風暴潮,https://data.gov.mo/Detail?id=4e8d2017-aa1b-4bab-a03a-fb570dadbf6e
本地生產總值 (支出法) - 當年價格,https://data.gov.mo/Detail?id=08d5d237-ea56-46f4-9336-1597512f9ef9
建築工人平均日薪,https://data.gov.mo/Detail?id=11416283-caa4-43cf-b33d-0aae77a30d50
刑事紀錄證明書發出數量統計,https://data.gov.mo/Detail?id=38d3dac0-482b-4317-a389-8d1039a07645
