,0,1,2,3,4,5,6,7,google address,lon,lat
0,"部門
Serviços",,"工程
Obra",判給 Adjudicação,,至 até30/06/2021,,"註
Nota",,0.0,0.0
1,,,,"價格 Valor
(MOP)","工期 Prazo
(天dias /工作天
dias de trabalho)","價格
工期
valor
prazo
(+/-)
(+/-)",,,,0.0,0.0
2,"土地工務運輸局
DSSOPT",1,"新監獄－第三期
Novo Estabelecimento Prisional Fase 3","739,718,181.19",693,"0.4%
3.2%",,,,0.0,0.0
3,,2,"基馬拉斯大馬路空中走廊
Travessia Pedonal da Av. de Guimarães",09/06/2021,完工 Concluído,,,,"Av. de Guimarães, Macao",0.0,0.0
4,,3,"鄰近西灣湖景大馬路堤圍加固
Reforço dos diques junto da Av. Panorâmica do Lago de Sai Van","365,000,000.00",285,0.8%,65.6%,,"Sai Van Lake, Macao",0.0,0.0
5,,4,"環松山步行系統
Sistema pedonal circundante da Guia","235,691,867.85",470,0.0%,0.0%,,,0.0,0.0
6,,5,"新口岸區污水截流管
Emissário residual da zona ZAPE e NAPE","336,000,000.00",760,0.0%,0.0%,,,0.0,0.0
7,,6,"中國與葡語國家商貿合作服務平台綜合體展覽館裝修
Decoração do pavilhão de exposições do Complexo da Plataforma de Serviços
para a Cooperação Comercial entre a China e os Países de Língua Portuguesa",,,,,2,,0.0,0.0
8,"建設發展辦公室
GDI",7,"離島醫療綜合體
Novo hospital","7,352,222,000.00",838,0.7%,0.2%,,"Av Salvador Novo 1060, Zona Urbana Rio Tijuana, 22320 Tijuana, B.C., Mexico",0.0,0.0
9,,8,"離島醫療綜合體－員工宿舍大樓
Novo hospital - Alojamento para Trabalhadores","356,860,000.00",718,2.7%,0.0%,,"640 S Main St, Los Angeles, CA 90014, USA",0.0,0.0
10,,9,"離島醫療綜合體－中央化驗大樓
Novo hospital - Edifício do Laboratório Central","1,176,783,000.00",728,0.0%,0.0%,,,0.0,0.0
11,,10,"C區填土
Aterro da Zona C","816,182,250.00",645,0.3%,28.5%,,"Rua Senador Vergueiro, 51 - Flamengo, Rio de Janeiro - RJ, 22230-001, Brazil",0.0,0.0
12,,11,"D區填土
Aterro da Zona D","1,538,000,000.00",1350,,,,"Estr. de Sapopemba, 23325 - Cidade Satelite Santa Barbara, São Paulo - SP, 08382, Brazil",0.0,0.0
13,,12,"第四條大橋
Quarta Ponte","5,270,016,283.69",1098,0.0%,0.0%,,"Quarta Ponte - Av. Ceará - Seis de Agosto, Rio Branco - AC, 69900-110, Brazil",0.0,0.0
14,,13,"九澳隧道北連接線
Túnel de Ká Hó - Acesso Norte","175,146,101.00",720,3.1%,4.2%,,"Estr. de Nossa Sra. de Ka Ho, Macao",0.0,0.0
